tick,coll,coll_factor
2018-06-22,2.609894893,1
2018-06-23,2.526651438,1
2018-06-24,2.444696789,2
2018-06-25,2.584824683,1
2018-06-26,2.561903523,1
2018-06-27,2.469423643,2
2018-06-28,2.514149033,1
2018-06-29,2.491805226,2
2018-06-30,2.894173097,0
2018-07-01,2.90145045,0
2018-07-02,2.955248457,0
2018-07-03,3.034897059,0
2018-07-04,2.986895128,0
2018-07-05,2.983479356,0
2018-07-06,2.957112316,0
2018-07-07,2.975736074,0
2018-07-08,3.091491121,0
2018-07-09,3.043319246,0
2018-07-10,2.843597678,0
2018-07-11,2.763956615,1
2018-07-12,2.755037365,1
2018-07-13,2.754917038,1
2018-07-14,2.752532167,1
2018-07-15,2.80775186,0
2018-07-16,2.944001184,0
2018-07-17,3.062463359,0
2018-07-18,3.142354008,0
2018-07-19,2.996394156,0
2018-07-20,2.913123827,0
2018-07-21,2.906945832,0
2018-07-22,2.928454551,0
2018-07-23,2.918944074,0
2018-07-24,2.955464293,0
2018-07-25,2.998246538,0
2018-07-26,2.995402793,0
2018-07-27,2.926459475,0
2018-07-28,2.956716032,0
2018-07-29,2.940310656,0
2018-07-30,2.899743665,0
2018-07-31,2.788826604,1
2018-08-01,2.662413123,1
2018-08-02,2.646654719,1
2018-08-03,2.614069221,1
2018-08-04,2.639695342,1
2018-08-05,2.600271214,1
2018-08-06,2.61599192,1
2018-08-07,2.583873848,1
2018-08-08,2.460018417,2
2018-08-09,2.585145048,1
2018-08-10,2.600356799,1
2018-08-11,2.532521711,1
2018-08-12,2.632201505,1
2018-08-13,2.613855145,1
2018-08-14,2.640702189,1
2018-08-15,2.935705882,0
2018-08-16,2.933837309,0
2018-08-17,3.040617996,0
2018-08-18,3.057323183,0
2018-08-19,2.998526874,0
2018-08-20,2.938537872,0
2018-08-21,2.832200802,0
2018-08-22,2.889468342,0
2018-08-23,2.80569167,0
2018-08-24,2.84031173,0
2018-08-25,2.884610654,0
2018-08-26,2.818637645,0
2018-08-27,2.846926816,0
2018-08-28,2.963630684,0
2018-08-29,2.995134447,0
2018-08-30,2.896904057,0
2018-08-31,2.886374341,0
2018-09-01,2.975697759,0
2018-09-02,3.009497006,0
2018-09-03,2.961385282,0
2018-09-04,2.928653492,0
2018-09-05,2.741194761,1
2018-09-06,2.677442974,1
2018-09-07,2.698856874,1
2018-09-08,2.695626107,1
2018-09-09,2.841730424,0
2018-09-10,2.873546573,0
2018-09-11,2.836540854,0
